+--------+-----------+--------------------------------------------+------------------------+----------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                                        | Name                   | Action                                                                     | Middleware   |
+--------+-----------+--------------------------------------------+------------------------+----------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | /                                          |                        | Closure                                                                    | web          |
|        | POST      | admin/anbar                                | anbar.store            | App\Http\Controllers\Admin\Seminar\Define\AnbarsController@store           | web          |
|        | GET|HEAD  | admin/anbar                                | anbar.index            | App\Http\Controllers\Admin\Seminar\Define\AnbarsController@index           | web          |
|        | GET|HEAD  | admin/anbar/create                         | anbar.create           | App\Http\Controllers\Admin\Seminar\Define\AnbarsController@create          | web          |
|        | DELETE    | admin/anbar/{anbar}                        | anbar.destroy          | App\Http\Controllers\Admin\Seminar\Define\AnbarsController@destroy         | web          |
|        | PUT|PATCH | admin/anbar/{anbar}                        | anbar.update           | App\Http\Controllers\Admin\Seminar\Define\AnbarsController@update          | web          |
|        | GET|HEAD  | admin/anbar/{anbar}                        | anbar.show             | App\Http\Controllers\Admin\Seminar\Define\AnbarsController@show            | web          |
|        | GET|HEAD  | admin/anbar/{anbar}/edit                   | anbar.edit             | App\Http\Controllers\Admin\Seminar\Define\AnbarsController@edit            | web          |
|        | POST      | admin/city                                 | city.store             | App\Http\Controllers\Admin\Seminar\Define\CitiesController@store           | web          |
|        | GET|HEAD  | admin/city                                 | city.index             | App\Http\Controllers\Admin\Seminar\Define\CitiesController@index           | web          |
|        | GET|HEAD  | admin/city/create                          | city.create            | App\Http\Controllers\Admin\Seminar\Define\CitiesController@create          | web          |
|        | PUT|PATCH | admin/city/{city}                          | city.update            | App\Http\Controllers\Admin\Seminar\Define\CitiesController@update          | web          |
|        | DELETE    | admin/city/{city}                          | city.destroy           | App\Http\Controllers\Admin\Seminar\Define\CitiesController@destroy         | web          |
|        | GET|HEAD  | admin/city/{city}                          | city.show              | App\Http\Controllers\Admin\Seminar\Define\CitiesController@show            | web          |
|        | GET|HEAD  | admin/city/{city}/edit                     | city.edit              | App\Http\Controllers\Admin\Seminar\Define\CitiesController@edit            | web          |
|        | GET|HEAD  | admin/city/{id}/addr                       |                        | App\Http\Controllers\Admin\Seminar\SeminarAjaxControler@getAddrByCityId    | web          |
|        | GET|HEAD  | admin/employee                             | employee.index         | App\Http\Controllers\Admin\Seminar\Define\SeminarEmpsController@index      | web          |
|        | POST      | admin/employee                             | employee.store         | App\Http\Controllers\Admin\Seminar\Define\SeminarEmpsController@store      | web          |
